state,rainfall_24h_mm,rain_3d_mm,rain_7d_mm,slope_deg,historical_incidents_90d,nearest_river,river_danger_level_m,river_danger_level_is_official,present_river_level_m,river_level_ratio,blocked,month
Nagaland,51.399235,98.53481102,161.8908253,15.4,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,105.38,0.997,1,8
Manipur,1.3268833,9.797390461,16.51244557,17.1,2,Imphal River,8,FALSE,4.81,0.601,1,6
Arunachal Pradesh,0,0,0,18.4,2,Subansiri,42,FALSE,18.65,0.444,0,11
Mizoram,0.42207572,5.5749726,24.89881417,19.7,0,Barak,20.5,FALSE,7.75,0.378,0,3
Assam,71.65362,163.6998148,379.0175714,6,1,Manas,33,FALSE,34.15,1.035,1,6
Mizoram,10.386255,17.40283531,17.71733111,23,0,Tlawng,9,FALSE,3.56,0.395,0,4
Manipur,9.4993925,26.9703474,122.3568811,9.7,0,Doyang,18,FALSE,14.45,0.803,0,7
Meghalaya,109.86819,231.3485546,549.2872601,16,0,Brahmaputra (Goalpara gauge),36.27,TRUE,40.48,1.116,1,6
Manipur,2.006547,6.409142017,6.807098329,18.6,1,Imphal River,8,FALSE,4.52,0.565,1,9
Assam,0,0,0.150029734,3.9,1,Dikrong,14,FALSE,5.52,0.394,1,11
Nagaland,58.091797,83.84452051,115.8211536,17.5,2,Dhansiri,40,FALSE,32.96,0.824,1,9
Meghalaya,68.256996,132.6424789,149.052407,20.2,0,Brahmaputra (Guwahati gauge),49.68,TRUE,29.56,0.595,0,3
Arunachal Pradesh,80.8124,147.1215668,355.1265585,27.4,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,97.24,0.92,1,8
Arunachal Pradesh,1.5457319,1.545731902,9.987952113,28.6,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,31.08,0.294,0,1
Arunachal Pradesh,1.0501535,1.050153494,1.050153494,9.4,0,Dikrong,14,FALSE,11.73,0.838,1,11
Nagaland,58.121513,122.8747139,215.4151259,10.6,0,Brahmaputra (Neamatighat gauge),85.05,TRUE,66.68,0.784,1,6
Assam,0.5079422,6.587823868,252.6227303,1.3,0,Dikrong,14,FALSE,13.89,0.992,1,6
Assam,9.601732,9.730611578,24.34731092,8.3,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,40.91,0.387,0,5
Meghalaya,0,0,0,18.8,2,Brahmaputra (Guwahati gauge),49.68,TRUE,28.22,0.568,1,3
Tripura,0,0,18.43500328,17.2,1,Khowai,10,FALSE,3.06,0.306,0,4
Nagaland,8.048936,20.9717505,131.956507,10.6,0,Brahmaputra (Neamatighat gauge),85.05,TRUE,96.19,1.131,0,7
Meghalaya,0,0,0,18.8,0,Brahmaputra (Guwahati gauge),49.68,TRUE,21.81,0.439,1,3
Tripura,55.15335,66.18691283,120.1798263,15.2,0,Tlawng,9,FALSE,5.87,0.652,1,8
Arunachal Pradesh,56.00074,62.11907792,83.22772551,30.5,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,63.42,0.6,1,5
Arunachal Pradesh,0,0,0,30.3,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,45.45,0.43,0,12
Assam,168.17615,231.7942333,243.8624177,5.9,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,86.36,0.817,1,4
Arunachal Pradesh,42.2,100.2999964,157.6999941,35.6,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,108.24,1.024,1,9
Tripura,0.10981974,1.164879888,25.80538473,17.2,1,Khowai,10,FALSE,9.04,0.904,1,9
Mizoram,0,1.438171983,1.438171983,19.7,0,Barak,20.5,FALSE,10.7,0.522,1,2
Sikkim,70.39688,106.7065601,191.0076933,33.6,1,Teesta,15,FALSE,11.68,0.779,1,9
Manipur,0,0,0.448960513,17.5,0,Kopili,30,FALSE,12.63,0.421,0,10
Manipur,0,0.109034583,3.130221352,18,0,Imphal River,8,FALSE,3.01,0.376,0,5
Sikkim,1.8010576,2.589020252,5.211584866,31,1,Teesta,15,FALSE,6.3,0.42,1,3
Manipur,0,0,4.363563061,8.4,2,Imphal River,8,FALSE,2.94,0.367,0,12
Arunachal Pradesh,68.57734,89.27968025,161.411808,28.6,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,64.69,0.612,1,7
Assam,0.15248513,11.83339572,23.97942519,5.1,1,Kopili,30,FALSE,31.71,1.057,1,8
Manipur,58.171135,90.92007637,170.6745428,14,0,Imphal River,8,FALSE,5.43,0.679,1,7
Meghalaya,0.020670576,10.18683873,161.240512,22,0,Brahmaputra (Guwahati gauge),49.68,TRUE,30.26,0.609,1,10
Assam,38.697422,67.72718823,110.0825522,3.3,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,72.3,0.684,1,6
Assam,90.14527,169.6287708,324.9839535,6.7,1,Brahmaputra (Dhubri gauge),28.62,TRUE,27.42,0.958,0,8
Manipur,51.946056,102.6219673,128.5304881,16,0,Imphal River,8,FALSE,5.04,0.63,1,5
Nagaland,2.8140092,19.66516542,51.28390652,20.1,1,Dhansiri,40,FALSE,26,0.65,0,8
Arunachal Pradesh,95.58301,219.7139435,355.9869461,25.2,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,109.72,1.038,1,6
Arunachal Pradesh,0,0.130467266,46.57896909,18.4,2,Subansiri,42,FALSE,36.75,0.875,1,6
Meghalaya,0,0,0,18.3,0,Brahmaputra (Dhubri gauge),28.62,TRUE,12.91,0.451,0,10
Manipur,0,0,26.73239638,20.6,2,Barak,20.5,FALSE,11.38,0.555,1,5
Meghalaya,61.784454,402.5536423,1299.63987,21.6,0,Brahmaputra (Goalpara gauge),36.27,TRUE,36.78,1.014,0,6
Assam,0,0,1.000936985,6.2,0,Brahmaputra (Tezpur gauge),65.23,TRUE,24.98,0.383,1,9
Arunachal Pradesh,55.76564,66.64134383,100.9229639,17.6,1,Subansiri,42,FALSE,24.49,0.583,0,6
Mizoram,9.524262,22.10891891,39.40379222,19.4,0,Tlawng,9,FALSE,4.83,0.537,0,8
Meghalaya,40.858173,260.0494881,564.7327309,16.4,0,Brahmaputra (Dhubri gauge),28.62,TRUE,30.22,1.056,0,6
Meghalaya,83.20278,398.8636398,1195.232765,20.5,1,Brahmaputra (Guwahati gauge),49.68,TRUE,55.05,1.108,1,6
Nagaland,9.521926,9.660527185,9.660527185,20.1,1,Dhansiri,40,FALSE,19.88,0.497,0,3
Sikkim,73.19586,117.4028091,295.2316914,25.7,0,Teesta,15,FALSE,13.38,0.892,0,7
Mizoram,0,0,58.20410538,24.8,0,Tlawng,9,FALSE,4.09,0.454,1,11
Meghalaya,0,0,0,18.7,0,Brahmaputra (Guwahati gauge),49.68,TRUE,22.55,0.454,0,2
Mizoram,1.96403,59.07409453,59.57927525,19.4,0,Tlawng,9,FALSE,4.47,0.497,1,12
Assam,13.980301,13.9803009,20.16215134,7.7,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,47.04,0.445,0,5
Arunachal Pradesh,0,0,10.74469268,13.8,0,Dikrong,14,FALSE,6.06,0.433,1,4
Meghalaya,57.95407,152.3008881,179.0346031,15.7,1,Brahmaputra (Dhubri gauge),28.62,TRUE,22.52,0.787,0,8
Arunachal Pradesh,64.84514,336.4676895,423.3685311,29.4,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,105.91,1.002,1,7
Assam,43.25768,80.9942832,316.0869517,10.2,0,Manas,33,FALSE,28.12,0.852,1,7
Manipur,0,17.80781269,47.25526142,14.2,1,Imphal River,8,FALSE,7.46,0.933,1,10
Arunachal Pradesh,8.935728,45.21428204,74.75063372,18,0,Dikrong,14,FALSE,5.47,0.391,1,10
Arunachal Pradesh,111.26215,139.7019193,193.9667177,24.7,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,104.33,0.987,1,8
Meghalaya,0,0,0.487762526,24.7,2,Brahmaputra (Goalpara gauge),36.27,TRUE,16.25,0.448,0,4
Mizoram,3.933542,47.31015563,117.3465614,24.2,1,Tlawng,9,FALSE,5.73,0.637,1,7
Meghalaya,46.509785,54.22692877,68.77646995,25.6,0,Brahmaputra (Guwahati gauge),49.68,TRUE,46.85,0.943,0,9
Arunachal Pradesh,85.02008,93.88006046,98.24846295,27.1,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,66.49,0.629,1,6
Assam,0,0,0,6.7,1,Brahmaputra (Dhubri gauge),28.62,TRUE,13.22,0.462,1,11
Nagaland,0,0,0,13.7,0,Dhansiri,40,FALSE,39.36,0.984,1,2
Manipur,0.29218218,1.8941558,51.59933645,20.7,2,Barak,20.5,FALSE,11.15,0.544,1,8
Sikkim,72.815636,122.1052113,230.7274017,33.6,1,Teesta,15,FALSE,12.99,0.866,1,7
Sikkim,118.96,124.3958691,133.0464166,25.7,0,Teesta,15,FALSE,9.81,0.654,0,10
Arunachal Pradesh,0,0,117.5782903,21,2,Brahmaputra (Dibrugarh gauge),105.7,TRUE,52.53,0.497,1,2
Arunachal Pradesh,39.37998,43.66237038,56.41483742,19.3,0,Dikrong,14,FALSE,6.93,0.495,1,5
Manipur,0,0.035778165,10.80104033,17.7,0,Kopili,30,FALSE,17.73,0.591,1,9
Meghalaya,2.2995741,21.94027019,58.08560514,22,0,Brahmaputra (Guwahati gauge),49.68,TRUE,48.64,0.979,1,8
Nagaland,15.675832,54.20345849,97.01315278,21.7,0,Dhansiri,40,FALSE,22.2,0.555,1,9
Arunachal Pradesh,0,0,0,32.1,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,43.65,0.413,1,11
Meghalaya,0,0,0.457793236,23,0,Kopili,30,FALSE,12,0.4,1,3
Meghalaya,123.912285,227.479887,306.093442,20.6,0,Brahmaputra (Dhubri gauge),28.62,TRUE,20.46,0.715,1,5
Mizoram,59.720764,81.27077579,230.9349737,17.7,1,Tlawng,9,FALSE,6.99,0.777,1,7
Nagaland,0,2.260315657,37.62723827,16.6,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,34.46,0.326,1,5
Mizoram,111.036224,171.8180485,189.3459274,22.1,2,Tlawng,9,FALSE,4.21,0.468,1,5
Tripura,0,0,0.525689244,12.8,1,Gomti,12,FALSE,5.3,0.442,0,12
Assam,0,0,0,3.9,0,Brahmaputra (Guwahati gauge),49.68,TRUE,36.27,0.73,0,12
Manipur,57.611713,94.29537392,108.6579536,16.8,0,Barak,20.5,FALSE,13.45,0.656,0,8
Meghalaya,0,0.789945662,5.745844096,18.7,0,Brahmaputra (Guwahati gauge),49.68,TRUE,23.75,0.478,0,4
Assam,0,0,12.56757149,10.2,0,Manas,33,FALSE,13.4,0.406,0,3
Manipur,29.507103,80.08403397,186.7887111,20.7,2,Barak,20.5,FALSE,13.9,0.678,0,8
Manipur,11.197662,35.64023685,55.0352211,19.2,0,Tlawng,9,FALSE,8.98,0.998,0,7
Meghalaya,3.5703359,6.324582338,40.45129514,21.7,2,Barak,20.5,FALSE,22.22,1.084,1,9
Arunachal Pradesh,0,10.37303698,58.2510277,15.3,1,Dikrong,14,FALSE,7.84,0.56,0,9
Arunachal Pradesh,0,1.948676825,30.09989834,26.3,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,27.69,0.262,1,4
Meghalaya,70.74569,146.9946976,197.3299413,15.9,1,Brahmaputra (Dhubri gauge),28.62,TRUE,26.3,0.919,1,8
Tripura,4.875575,17.49222875,175.0279076,14.8,2,Khowai,10,FALSE,6.05,0.605,1,6
Arunachal Pradesh,0,1.865252435,1.942069314,19.6,3,Subansiri,42,FALSE,16.55,0.394,0,10
Manipur,0,9.834157348,31.32957113,23.5,0,Barak,20.5,FALSE,7.61,0.371,1,3
Manipur,0,6.762123108,8.036802113,20.7,2,Barak,20.5,FALSE,17.42,0.85,1,5
Mizoram,52.802258,82.30934238,191.5231657,17.7,1,Tlawng,9,FALSE,7.36,0.818,1,8
Meghalaya,105.85323,138.2516422,191.6146436,14.7,0,Brahmaputra (Dhubri gauge),28.62,TRUE,20.06,0.701,0,7
Tripura,4.369729,7.893449157,95.21726406,17.3,0,Khowai,10,FALSE,11.04,1.104,1,9
Sikkim,20.56533,59.0434311,93.23947328,28.8,0,Teesta,15,FALSE,9.46,0.631,0,9
Manipur,0,0,0,17.7,0,Kopili,30,FALSE,13.41,0.447,1,11
Mizoram,0,0,0,20.4,0,Tlawng,9,FALSE,3.3,0.367,0,2
Assam,0,0,0,6,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,46.61,0.441,0,12
Arunachal Pradesh,0.7659371,6.244750738,15.38876414,15.9,0,Subansiri,42,FALSE,13.86,0.33,0,5
Arunachal Pradesh,0,3.419532835,9.854590476,31.9,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,101.05,0.956,1,8
Arunachal Pradesh,27.812317,43.92906845,507.6467007,26.3,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,111.94,1.059,1,7
Manipur,9.637644,68.97976112,91.92327887,6.7,0,Doyang,18,FALSE,11.66,0.648,1,9
Arunachal Pradesh,0.7125011,21.95724231,144.4609693,18.1,0,Subansiri,42,FALSE,47.71,1.136,1,6
Manipur,0,0,0,20.6,2,Barak,20.5,FALSE,6.6,0.322,1,11
Sikkim,19.572166,37.14952874,86.35280329,23.3,0,Teesta,15,FALSE,15.85,1.057,1,8
Arunachal Pradesh,59.06156,113.444581,296.7112927,30.3,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,100.63,0.952,1,8
Mizoram,13.455488,16.48050654,52.58007407,22.2,1,Tlawng,9,FALSE,4.41,0.49,1,9
Tripura,0,0,0,14.9,0,Gomti,12,FALSE,4.57,0.381,0,2
Assam,97.54066,105.3148571,148.0275283,4.3,0,Brahmaputra (Tezpur gauge),65.23,TRUE,32.62,0.5,0,7
Manipur,0,0.52108711,44.91012996,9.7,0,Doyang,18,FALSE,13.28,0.738,0,10
Arunachal Pradesh,1.3280162,28.86681831,64.20042707,29.4,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,44.18,0.418,1,2
Tripura,43.35326,61.88584709,144.0255293,15.2,0,Tlawng,9,FALSE,7.27,0.808,0,9
Nagaland,0,0.673040986,57.47268713,15.4,0,Dikrong,14,FALSE,13.82,0.987,0,8
Tripura,0,54.82164097,92.99783981,16.1,0,Gomti,12,FALSE,11.58,0.965,1,9
Manipur,0,13.68522406,28.02334666,14.6,2,Imphal River,8,FALSE,3.42,0.427,0,4
Arunachal Pradesh,0,0,58.30266857,24.7,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,49.68,0.47,0,10
Assam,0.52977043,3.850064456,3.850064456,10.2,0,Manas,33,FALSE,16.17,0.49,1,2
Meghalaya,157.13943,365.0228729,541.5863938,18.9,0,Brahmaputra (Guwahati gauge),49.68,TRUE,48.39,0.974,1,10
Meghalaya,0.16109146,0.161091462,0.161091462,18.2,1,Manas,33,FALSE,10.3,0.312,0,11
Mizoram,16.672882,24.54752469,25.22516483,25,1,Tlawng,9,FALSE,4.1,0.456,0,12
Assam,0.6014591,0.601459086,55.21489388,6.7,0,Kopili,30,FALSE,18.96,0.632,1,6
Manipur,3.8508556,15.67795998,55.27199847,6.7,0,Doyang,18,FALSE,18.58,1.032,1,9
Meghalaya,6.8399315,111.812376,287.5134106,17.7,1,Brahmaputra (Goalpara gauge),36.27,TRUE,41.2,1.136,0,8
Arunachal Pradesh,0,0,0,19.3,0,Dikrong,14,FALSE,12.19,0.871,1,9
Mizoram,0,0,34.81167984,19.4,0,Tlawng,9,FALSE,3.59,0.399,0,5
Assam,2.8841345,127.6911414,188.6372166,4.7,2,Dikrong,14,FALSE,11.93,0.852,0,8
Nagaland,0,0,32.66853344,13.7,1,Brahmaputra (Neamatighat gauge),85.05,TRUE,47.63,0.56,1,7
Nagaland,4.391836,5.272090137,50.78623408,14.6,0,Brahmaputra (Neamatighat gauge),85.05,TRUE,38.7,0.455,1,5
Meghalaya,15.232956,108.8669758,183.8347306,22,0,Brahmaputra (Guwahati gauge),49.68,TRUE,64.58,1.3,1,6
Arunachal Pradesh,0,0.432536364,0.432536364,32.5,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,29.07,0.275,1,12
Tripura,0,0,19.22294835,14.6,0,Gomti,12,FALSE,5.71,0.476,0,10
Mizoram,71.894936,287.2871017,411.5557284,25.8,0,Tlawng,9,FALSE,9.35,1.039,1,6
Sikkim,0.21576881,6.881434917,15.36633599,31.5,1,Teesta,15,FALSE,7.71,0.514,1,2
Manipur,1.184621,4.214515626,22.99665016,10.7,0,Imphal River,8,FALSE,4.02,0.502,0,9
Assam,0,0,0,3.9,1,Subansiri,42,FALSE,11.97,0.285,1,12
Assam,55.76298,69.9805088,69.9805088,6,1,Brahmaputra (Dhubri gauge),28.62,TRUE,21.12,0.738,0,9
Arunachal Pradesh,110.79964,187.1825027,197.7477244,9.4,0,Dikrong,14,FALSE,9.93,0.709,0,5
Meghalaya,0,9.752299309,337.314147,20.6,0,Brahmaputra (Dhubri gauge),28.62,TRUE,26.22,0.916,1,6
Assam,126.09085,207.0178452,213.4242577,2,0,Dikrong,14,FALSE,14.38,1.027,0,5
Arunachal Pradesh,0,0,0,28.8,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,34.35,0.325,0,4
Arunachal Pradesh,0,0,0,19.6,3,Subansiri,42,FALSE,15.29,0.364,0,10
Mizoram,51.41574,102.2864132,122.6098473,20.7,0,Tlawng,9,FALSE,6.08,0.676,1,7
Meghalaya,11.909244,23.15005016,47.81273341,17.5,0,Brahmaputra (Dhubri gauge),28.62,TRUE,30.05,1.05,1,7
Arunachal Pradesh,0,0,5.876854554,27.7,5,Brahmaputra (Dibrugarh gauge),105.7,TRUE,57.4,0.543,1,6
Assam,0,0,0,8.3,0,Brahmaputra (Goalpara gauge),36.27,TRUE,13.67,0.377,1,4
Sikkim,21.186682,38.82591766,57.04409021,34.9,3,Teesta,15,FALSE,7.82,0.521,1,9
Manipur,9.104275,22.46832442,67.31144595,20.6,2,Barak,20.5,FALSE,14.64,0.714,1,7
Nagaland,0,0,25.84222078,12.7,1,Brahmaputra (Neamatighat gauge),85.05,TRUE,68.89,0.81,1,9
Assam,0,0,80.21430779,6.7,0,Brahmaputra (Dhubri gauge),28.62,TRUE,24.36,0.851,1,9
Nagaland,65.59013,99.11104918,146.7381835,12.5,0,Doyang,18,FALSE,17.82,0.99,1,9
Mizoram,3.051636,6.27718854,67.06032968,22.9,1,Tlawng,9,FALSE,6.11,0.679,1,7
Assam,0,0,0,7.9,0,Brahmaputra (Guwahati gauge),49.68,TRUE,23.1,0.465,0,11
Assam,0,2.297245502,2.297245502,11.2,0,Brahmaputra (Dhubri gauge),28.62,TRUE,10.47,0.366,0,2
Meghalaya,0.14726087,0.171804354,26.36783021,14.5,0,Brahmaputra (Dhubri gauge),28.62,TRUE,11.45,0.4,0,12
Nagaland,55.705696,79.40913129,94.76054227,15.4,0,Dikrong,14,FALSE,8.51,0.608,0,7
Arunachal Pradesh,12.216527,20.83489656,75.37609529,14.7,0,Dikrong,14,FALSE,8.51,0.608,1,6
Nagaland,0,0,0,19.5,0,Kopili,30,FALSE,16.02,0.534,1,1
Assam,13.183061,109.5028133,362.8175731,7.1,2,Barak,20.5,FALSE,20.32,0.991,0,6
Mizoram,19.919518,51.58526707,356.908967,17.7,1,Tlawng,9,FALSE,9.24,1.027,1,6
Assam,0,0,0,4.2,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,25.58,0.242,0,1
Assam,0,0.653138638,2.914003074,5,0,Brahmaputra (Tezpur gauge),65.23,TRUE,24.72,0.379,0,3
Tripura,21.54051,139.8514156,358.7447734,20.2,1,Gomti,12,FALSE,11.34,0.945,1,8
Mizoram,68.68991,71.08985639,181.7337091,20.3,0,Tlawng,9,FALSE,5.98,0.665,1,5
Assam,16.557026,39.52744341,63.00763464,2.8,1,Brahmaputra (Tezpur gauge),65.23,TRUE,41.16,0.631,1,7
Meghalaya,50.40121,53.05335569,124.9943113,22,0,Brahmaputra (Guwahati gauge),49.68,TRUE,33.83,0.681,1,9
Nagaland,1.3491013,12.39159465,88.63173938,13.6,0,Doyang,18,FALSE,14.67,0.815,0,8
Meghalaya,7.224729,72.02716589,203.0909989,15.7,1,Brahmaputra (Dhubri gauge),28.62,TRUE,29.42,1.028,1,6
Tripura,81.6322,83.62903683,136.2065922,12.6,1,Gomti,12,FALSE,7.4,0.617,1,7
Arunachal Pradesh,1.6365668,7.386848658,14.93016502,28,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,38.05,0.36,1,10
Mizoram,0,58.23805809,95.32246947,23.3,0,Tlawng,9,FALSE,6.27,0.697,0,7
Arunachal Pradesh,0,0,7.080616951,31.5,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,48.94,0.463,1,10
Meghalaya,60.64876,113.7520494,488.3151827,17.7,1,Brahmaputra (Goalpara gauge),36.27,TRUE,38.26,1.055,1,8
Manipur,8.328476,13.06437826,32.87458992,17.5,0,Kopili,30,FALSE,18.63,0.621,1,8
Arunachal Pradesh,9.971591,11.12556243,12.69687033,17.9,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,56.13,0.531,0,9
Tripura,0,0,0,14.4,2,Gomti,12,FALSE,5.74,0.478,1,2
Arunachal Pradesh,54.406864,70.66651535,182.8747225,26.3,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,85.93,0.813,1,8
Meghalaya,43.272236,115.4466953,156.6576206,20.9,2,Barak,20.5,FALSE,13.9,0.678,1,6
Nagaland,0,0.463015556,6.011822432,20.5,0,Kopili,30,FALSE,28.83,0.961,1,6
Meghalaya,75.428375,143.4441004,498.5069914,17.7,1,Brahmaputra (Goalpara gauge),36.27,TRUE,40.62,1.12,1,7
Mizoram,68.61966,195.3728294,248.0589533,25.8,0,Tlawng,9,FALSE,6.21,0.69,1,8
Nagaland,8.292236,16.3592329,16.3592329,20.5,0,Kopili,30,FALSE,13.62,0.454,1,6
Arunachal Pradesh,0.10181313,3.85290914,54.20243769,16.5,1,Dikrong,14,FALSE,6.97,0.498,0,6
Assam,158.3367,310.5665512,328.8063323,7.7,3,Barak,20.5,FALSE,20.03,0.977,1,6
Meghalaya,63.743355,96.05065441,535.331584,17.7,1,Brahmaputra (Goalpara gauge),36.27,TRUE,31.88,0.879,0,7
Manipur,1.9791275,8.202770591,11.26719539,23.5,0,Barak,20.5,FALSE,10.54,0.514,1,9
Nagaland,63.595005,131.4207172,222.5475338,13.8,0,Dhansiri,40,FALSE,32.2,0.805,0,8
Manipur,10.296596,12.5589264,39.67904064,17.7,0,Kopili,30,FALSE,8.1,0.27,1,10
Sikkim,0,0,0,28.8,0,Teesta,15,FALSE,6.28,0.419,0,12
Arunachal Pradesh,104.62602,134.5055585,193.2530708,34,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,84.03,0.795,1,8
Mizoram,118.53239,209.6085167,321.0935777,17.7,1,Tlawng,9,FALSE,7.3,0.811,1,5
Mizoram,0,0,0.589211583,20.7,0,Tlawng,9,FALSE,4.54,0.504,0,2
Arunachal Pradesh,0,0,0,16.9,2,Dikrong,14,FALSE,11.69,0.835,1,1
Arunachal Pradesh,56.156303,81.58367985,153.0088205,26.1,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,61.41,0.581,0,3
Meghalaya,75.95901,251.6222305,416.0858326,22.7,1,Barak,20.5,FALSE,22.45,1.095,1,6
Assam,102.073364,114.0592318,123.8272527,8.3,1,Brahmaputra (Goalpara gauge),36.27,TRUE,24.55,0.677,1,6
Nagaland,0,4.664765835,52.50622416,15.4,0,Brahmaputra (Dibrugarh gauge),105.7,TRUE,43.44,0.411,1,10
Assam,76.46971,77.15362936,351.4451981,2.2,0,Subansiri,42,FALSE,41.71,0.993,1,7
Sikkim,12.698056,117.7024889,373.1762247,29.7,3,Teesta,15,FALSE,14.64,0.976,1,6
Assam,0,0,0,9.6,1,Kopili,30,FALSE,17.82,0.594,0,1
Meghalaya,168.00783,243.8240013,371.0882218,17.7,1,Brahmaputra (Goalpara gauge),36.27,TRUE,35.58,0.981,1,8
Assam,2.8636625,2.903695382,73.01874999,5,0,Brahmaputra (Tezpur gauge),65.23,TRUE,44.36,0.68,1,6
Sikkim,155.93419,158.096539,238.5451045,25.7,0,Teesta,15,FALSE,12.48,0.832,1,8
Meghalaya,0,0,0,19.6,0,Kopili,30,FALSE,10.92,0.364,0,12
Nagaland,0,0,0,16.7,3,Dhansiri,40,FALSE,14.8,0.37,0,1
Assam,102.53524,109.5219586,112.8551069,5.4,0,Dikrong,14,FALSE,11.51,0.822,1,7
Assam,0,0,0,9.1,1,Khowai,10,FALSE,3.32,0.332,0,1
Mizoram,0,0.164998621,0.164998621,17.7,1,Tlawng,9,FALSE,3.27,0.363,1,11
Assam,0,0.918453157,89.86021465,2.8,0,Brahmaputra (Tezpur gauge),65.23,TRUE,38.81,0.595,1,6
Tripura,113.35133,160.5893307,333.5027678,12.8,1,Gomti,12,FALSE,11.84,0.987,1,8
Nagaland,13.780689,21.99434805,48.91041851,20.1,1,Dhansiri,40,FALSE,36.88,0.922,0,7
Assam,0,0,1.89373374,7.7,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,38.9,0.368,1,10
Manipur,8.852034,8.852033615,8.852033615,20.6,2,Barak,20.5,FALSE,8.63,0.421,0,11
Nagaland,0,0,10.46243,17.5,2,Dhansiri,40,FALSE,20.16,0.504,0,1
Arunachal Pradesh,0.14085796,4.290528089,28.92913321,30.3,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,42.17,0.399,0,10
Meghalaya,57.089165,217.6727734,243.8923582,22.3,0,Brahmaputra (Guwahati gauge),49.68,TRUE,49.53,0.997,0,8
Arunachal Pradesh,80.89368,107.5888636,136.3759162,28,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,72.72,0.688,1,6
Sikkim,0,6.888818741,26.6297155,31.5,1,Teesta,15,FALSE,14.14,0.943,1,4
Tripura,40.907234,156.7445869,267.7010432,14.9,0,Gomti,12,FALSE,11.27,0.939,0,6
Meghalaya,150.67857,225.4155426,365.1996651,15.7,1,Brahmaputra (Dhubri gauge),28.62,TRUE,26.62,0.93,1,7
Assam,0,0,3.266784072,4.9,1,Manas,33,FALSE,29.73,0.901,0,9
Sikkim,0,0,15.56322575,24.1,0,Teesta,15,FALSE,6.32,0.421,1,11
Nagaland,2.0986023,32.9550209,77.51898718,16.6,1,Brahmaputra (Dibrugarh gauge),105.7,TRUE,87.73,0.83,1,6
Nagaland,0.88731897,2.169001937,12.81318152,16.4,0,Doyang,18,FALSE,18.38,1.021,1,9
Mizoram,4.6264753,34.71959972,41.22283465,17.7,1,Tlawng,9,FALSE,3.99,0.443,1,10
Sikkim,4.1092772,7.307985783,7.307985783,32.4,0,Teesta,15,FALSE,3.22,0.215,1,11
Mizoram,10.138572,19.35883999,38.16073033,22.2,1,Tlawng,9,FALSE,7.88,0.876,0,9
Mizoram,70.89936,93.99601269,99.02214468,21.4,0,Tlawng,9,FALSE,6.52,0.724,1,8
Assam,24.78107,143.6163406,375.7889519,6.7,1,Brahmaputra (Dhubri gauge),28.62,TRUE,28.36,0.991,0,7
Meghalaya,52.522793,81.61519146,96.53018951,19.6,1,Brahmaputra (Goalpara gauge),36.27,TRUE,17.59,0.485,1,6
Meghalaya,109.749596,156.6441581,226.4275423,22.4,0,Brahmaputra (Dhubri gauge),28.62,TRUE,23.47,0.82,0,7
Mizoram,0,12.10568994,41.60038799,22.2,1,Tlawng,9,FALSE,7.65,0.85,0,10
Meghalaya,60.80813,122.1012716,184.9733863,17.7,1,Brahmaputra (Goalpara gauge),36.27,TRUE,29.09,0.802,0,9
Assam,0,0,0,4.3,1,Brahmaputra (Tezpur gauge),65.23,TRUE,25.64,0.393,1,12
